question,response
How do I get started with online license renewal?,"<p>First time users should start here: <a href=""https://permits.lakecountyin.org/Account/Renewal"">https://permits.lakecountyin.org/Account/Renewal</a></p>"
How do I get started with online permits?,"<p>First time users should start here:</p>
<p><a href=""https://permits.lakecountyin.org/Account/Disclaimer"">https://permits.lakecountyin.org/Account/Disclaimer</a></p>"
My License has been suspended.  How do I get it reinstated?,"<div><span style=""font-family: Times New Roman; font-size: medium;"">For information on License suspensions and reinstatement go to <a href=""http://www.in.gov/bmv/driverlicense/ticketsandsuspensions/""><span style=""font-size: small;"">www.in.gov/bmv/driverlicense/ticketsandsuspensions</span></a></span></div>"
When and how do I pay my traffic ticket and how much will it cost?,"<div><span style=""font-family: Times New Roman; font-size: medium;"">Payment for tickets can not be accepted until the ticket is received and entered into the Lake County Traffic Computer System.&nbsp; This usually take 4-6 weeks from the time you received the ticket.&nbsp; Once the ticket is entered a post card will be mailed to you. The post card will state your case number, the fine amount and if the case is in a CourtRoom in </span><span style=""font-size: medium;"">Crown Point</span><span style=""font-size: medium;""> or </span><span style=""font-size: medium;"">Hammond</span><span style=""font-size: medium;"">.&nbsp; You may then pay your fine (1) In person at the Lake County Traffic Clerks Office 2293 North Main Street Crown Point Indiana 46307&nbsp; if the Ticket is in Crown Point or at 232 Russell Street Hammond Indian 46320 if the case is in Hammond, with Cash, a Money Order or a Certified Check payable to the Lake County Traffic Clerk. (2) Mail a Money Order or a Certified Check with a copy of the Post Card to either </span><span style=""font-size: medium;"">Hammond</span><span style=""font-size: medium;""> or </span><span style=""font-size: medium;"">Crown Point</span><span style=""font-size: medium;""> depending upon where your ticket is.&nbsp; Put your case number on the Money Order or Certified Check.&nbsp; If you would like a receipt include a self addressed stamped envelope. (3) You may also pay your ticket on line at <a href=""http://www.lakecountyin.org/tp""><span style=""font-size: small;"">WWW.lakecountyin.org/tp</span></a>&nbsp; </span></div>"
"My address is wrong on my ticket, how do I get it changed?","<p><span style=""font-family: Times New Roman; font-size: medium;"">If the Ticket is in a Court Room in </span><span style=""font-family: Times New Roman; font-size: medium;"">Crown Point</span><span style=""font-family: Times New Roman; font-size: medium;""> you may Mail or Fax a copy of your ticket with the correct address included to the Lake County Traffic Clerk 2293 North Main Street Crown Point Indiana 46307 Fax 219-755-3609. If the ticket is in the </span><span style=""font-family: Times New Roman; font-size: medium;"">Hammond</span><span style=""font-family: Times New Roman; font-size: medium;""> </span><span style=""font-family: Times New Roman; font-size: medium;"">Court</span><span style=""font-family: Times New Roman; font-size: medium;""> </span><span style=""font-family: Times New Roman; font-size: medium;"">Room</span><span style=""font-family: Times New Roman; font-size: medium;"">&nbsp; mail it or fax it to </span><span style=""font-family: Times New Roman; font-size: medium;"">232 Russell Street</span><span style=""font-family: Times New Roman; font-size: medium;""> </span><span style=""font-family: Times New Roman; font-size: medium;"">Hammond</span><span style=""font-family: Times New Roman; font-size: medium;""> </span><span style=""font-family: Times New Roman; font-size: medium;"">Indiana</span><span style=""font-family: Times New Roman; font-size: medium;""> </span><span style=""font-family: Times New Roman; font-size: medium;"">46320</span><span style=""font-family: Times New Roman; font-size: medium;"">, Fax&nbsp; 219-933-2805.&nbsp; No address changes can be done over the phone.&nbsp; You must also get your drivers license changed with the BMV. </span></p>"
Are there other options available to me other than paying my ticket?,"<div><span style=""font-family: Times New Roman; font-size: medium;"">You always have the right to enter a plea of not guilty and have a hearing in Court.</span></div>"
How many points will this ticket be on my Driver's  License?,"<p><span style=""font-family: Times New Roman; font-size: medium;"">Points are determined by Indiana Bureau of Motor Vehicles (BMV) Their web site address is <a href=""http://www.in.gov/bmv/""><span style=""font-size: small;"">WWW.in.gov/bmv/</span></a></span></p>"
Can I get an extension of time to pay my Ticket?,"<div><span style=""font-family: Times New Roman; font-size: medium;"">An extension can only be given by the Court.&nbsp;Call them for information.</span></div>"
How do I know what Division is my ticket assigned to?,"<table cellspacing=""1"" cellpadding=""1"" width=""100%"" border=""1"">
<tbody>
<tr>
<td><strong>If your case number starts with...</strong></td>
<td><strong>Your Division is...</strong></td>
<td><strong>Your courtroom is...</strong></td>
</tr>
<tr>
<td>45D07</td>
<td align=""middle"">1</td>
<td>County Division Room 1 - Crown Point</td>
</tr>
<tr>
<td>45D08</td>
<td align=""middle"">2</td>
<td>County Division Room 2 - Crown Point</td>
</tr>
<tr>
<td>45D09</td>
<td align=""middle"">3</td>
<td>County Division Room&nbsp;3 - Crown Point</td>
</tr>
<tr>
<td>45D12</td>
<td align=""middle"">4</td>
<td>County Division Room&nbsp;4 - Hammond</td>
</tr>
</tbody>
</table>"
When may I pay my ticket online?,"<p>Depending on division the ticket is assigned to, tickets may be paid online as follows</p>
<p>&nbsp;</p>
<table border=""1"" cellspacing=""1"" cellpadding=""1"" width=""100%"">
<tbody>
<tr>
<td>
<p><strong>Division</strong></p>
</td>
<td><strong>If paying before Court Date, online payment is allowed...</strong></td>
<td><strong>If paying after Court Date, online payment is allowed..</strong></td>
</tr>
<tr>
<td>1</td>
<td>By 3 p.m. on one business day prior to Court Date</td>
<td>After 3 p.m.&nbsp;on 5th business day after Court Date</td>
</tr>
<tr>
<td>2</td>
<td>By 3 p.m. on one business day prior to Court Date</td>
<td>After 3 p.m.&nbsp;on 5th business day after Court Date</td>
</tr>
<tr>
<td>3</td>
<td>By 3 p.m. on one business day prior to Court Date</td>
<td>After 3 p.m.&nbsp;on 5th business day after Court Date</td>
</tr>
<tr>
<td>4</td>
<td>By 3 p.m. on one business day prior to Court Date</td>
<td>After 3 p.m.&nbsp;on 5th business day after Court Date</td>
</tr>
</tbody>
</table>
<p>For example, if your Court Date falls on Monday, your ticket must be paid by 3 p.m. on Friday. If you missed your Court Date and you are in Division 2, you may pay your ticket after 3 p.m. on the following Monday.</p>
<p><strong>Keep in mind, however, that all Courts will suspend your license for Failure to Pay or Failure to Appear. There will be no grace period unless the Court has granted you ""Time to pay"".&nbsp;Therefore, it&nbsp;is in your best interest to pay your ticket before the court date.</strong></p>
<p>Finally, you may always come in and pay your traffic ticket in person.</p>
<p>All traffic ticket payments received by 4:00 pm will be posted on thecurrent day. All traffic ticket payments received AFTER 4:00 pm will be&nbsp;posted on the next day. You will receive email order confirmation&nbsp;immediately after your card is charged. You will receive email receipt once your&nbsp;payment is posted which may take up to 24 hrs. If you do not receive an email receipt,&nbsp;please wait at least 24 hrs before contacting the Clerk's office. Currently, the posting process starts at 11 pm each day.</p>"
